clan_id,clan_name,clan_leader_name,clan_kingdom,clan_description
clan_khuzait_8,Phulkian,Ala Singh,Sikh Empire,The rulers of Patiala who often act as the primary diplomats between the Sikh confederacy and the crumbling Mughal center as well as the invading Afghan powers. They are known for their sophisticated political maneuvering using their strategic location to protect the interests of the Sikh community through negotiation as much as through force. Their military is composed of a well organized standing army that bridges the gap between the tribal misls and the traditional state structures. This clan represents the diplomatic and administrative talent of the Sikh people seeking to build a lasting political entity that can be recognized by the surrounding powers. In the context of the civil war they serve as the buffer state that prevents a total and direct collision between the Afghans and the interior of the subcontinent. Their role is one of immense complexity as they must balance the demands of the Khalsa with the harsh realities of international politics. They are the clever and resilient statesmen of the Sikh revolution.
clan_khuzait_9,Karora Singhia,Baghel Singh,Sikh Empire,A highly aggressive clan that has expanded the Sikh influence into the territories surrounding Delhi and the upper reaches of the Doab. They are known for their bold raids into the heart of the Mughal capital and their ability to extract tribute from the imperial administrators. Their warriors are seasoned cavalrymen who specialize in deep penetration missions and the capturing of enemy supply trains. This clan represents the expansionist and vengeful spirit of the Sikh people seeking to punish the Mughal center for its history of persecution. During the civil war they serve as the primary offensive vanguard that keeps the imperial court in a state of constant fear. Their leadership is defined by a focus on military conquest and the permanent displacement of the old Mughal nobility from the northern plains. They are the daring and relentless warriors of the Sikh frontier.
clan_aserai_1,House of Sultani,Hyder Ali,Kingdom of Mysore,A revolutionary military dynasty that has surged to power by displacing the old order and implementing radical administrative and military reforms. They have transformed a small southern kingdom into a centralized powerhouse that utilizes modern technology like iron cased rockets to shatter traditional formations. Their infantry is rigorously trained in European tactics making them one of the few indigenous forces capable of standing toe to toe with colonial armies. They are defined by their fierce independence and their ambition to dominate the entire southern peninsula through meritocracy and innovation. This ruling clan has abolished the feudal land systems in favor of a direct tax model allowing them to fund a professional standing army that is loyal only to the state. Their court is a center of scientific inquiry and global diplomacy often seeking alliances as far away as France and the Ottoman Empire. They represent a new breed of Indian statehood that rejects the decadence of the past in favor of a disciplined and modernized future.
clan_aserai_2,Wadiyar,Krishnaraja II,Kingdom of Mysore,The ancient Hindu royal family who remain as the titular heads of the state providing the essential continuity and religious legitimacy that the people require. While the actual power has shifted to the military reformers they still maintain a prestigious court and represent the long history of the Mysore region. Their influence is felt in the cultural and religious spheres where they act as the primary patrons of the local arts and temples. This clan represents the traditional soul of the kingdom ensuring that the rapid changes of the modernizers do not alienate the traditional population. In the context of the civil war they provide the symbolic center around which the diverse people of the south can unite during times of external threat. Their presence is a reminder of the kingdoms roots and they serve as the essential guardians of the local identity. They are the venerable and respected elders of the southern world.
clan_aserai_3,Kalale Urs,Nanjaraja,Kingdom of Mysore,A clan of powerful hereditary ministers who once ruled the state as regents before being sidelined by the rise of the new military elite. They represent the old aristocratic order of Mysore and maintain significant influence in the rural districts through their ancient land holdings. Their military retinues are composed of traditional local warriors who are loyal to the family name and their long history of service to the throne. This clan exists in a state of tense coexistence with the new reformers often acting as the primary voice for the traditionalist nobility in the court. During the current conflict they serve as the regional governors who ensure that the countryside remains stable while the main armies are away on campaign. Their struggle is one of maintaining their relevance in a world that is increasingly dominated by professional soldiers and modern technology. They are the proud remnants of the ancient Mysorean aristocracy.
clan_aserai_4,Bettada Kote,Devaraja,Kingdom of Mysore,An influential branch of the Mysore nobility that controls the strategic hill forts surrounding the capital and has a long history of military service to the state. They are specialists in the defense of high places and the conduct of protracted sieges using the rugged terrain of the plateau to their advantage. Their warriors are hardened mountain infantry who are experts in the use of traditional weapons and local knowledge. This clan represents the traditional defensive backbone of the kingdom providing the safe havens that allow the central government to function during times of invasion. In the civil war they serve as the primary guardians of the heartland ensuring that the capital remains secure against any sudden raid. Their loyalty is based on their deep connection to the land and their historical role as the protectors of the Mysorean people. They are the rock upon which the kingdoms defense is built.
clan_aserai_5,Maddur,Srinivas Rao,Kingdom of Mysore,A clan of local administrators and commanders who manage the eastern fertile valleys of the Kaveri river and provide the state with its primary source of food and tax revenue. They are known for their expertise in irrigation and agrarian management ensuring that the kingdoms resources are used to their fullest potential. Their military force is composed of well armed local levies who are trained to defend the vital river crossings and agricultural centers. This clan represents the agrarian strength of Mysore proving that a modern military machine is only as strong as its economic base. During the imperial decline they have taken over the role of the primary logistical officers for the army ensuring that the troops are always well supplied and fed. Their influence is built on their indispensable role in the kingdoms economy making them one of the most stable and reliable factions in the south. They are the hardworking and efficient providers of the Mysorean state.
clan_aserai_6,Malabar,Ali Raja,Kingdom of Mysore,The naval commanders and merchant lords of the coast who provide the kingdom with vital access to global trade networks and modern firearms from overseas. They are specialists in maritime warfare and the defense of the lush coastal ports against both European fleets and local pirates. Their warriors are expert sailors and marines who bring a unique amphibious dimension to the kingdoms military capabilities. This clan represents the outward looking and commercial side of Mysore seeking to turn the kingdom into a major naval power in the Indian Ocean. In the context of the civil war they serve as the primary procurement officers for the state using their trade connections to acquire the latest military technology. Their influence is rooted in their control over the spice trade and their ability to navigate the complex world of international commerce. They are the daring and wealthy sea lords of the southern coast.
clan_aserai_7,Coorg,Muddu Raja,Kingdom of Mysore,A fierce highland clan that frequently rebels against central authority from their forested mountain strongholds and maintains a unique cultural and martial identity. They are renowned for their incredible marksmanship and their ability to conduct devastating guerrilla raids through the dense jungles of the Western Ghats. Their warriors are individualistic and brave fighting with a fanatical devotion to their local gods and their ancestral lands. This clan represents the untamable frontier of the south providing a constant challenge to any power that seeks to consolidate the entire region. During the civil war they act as a volatile and unpredictable force often siding with whoever can guarantee their independence and protect their sacred forests. Their role is one of fierce local resistance and they have become legendary for their ability to defeat much larger forces in the deep woods. They are the wild and free warriors of the southern mountains.
clan_aserai_8,Sira,Dilawar Khan,Kingdom of Mysore,Former Mughal governors who now serve as the northern guardians and administrators of the kingdoms expanded territories in the central Deccan. They bring with them the refined administrative and military traditions of the north adding a layer of professional expertise to the Mysorean government. Their military force is a mix of traditional Deccani cavalry and locally recruited infantry who are trained in the latest tactical drills. This clan represents the successful integration of the old imperial elite into the new and dynamic Mysorean state. In the current conflict they serve as the primary border guards in the north preventing any southern expansion by the Marathas or the Nizam. Their influence is built on their ability to manage a diverse and sometimes restless population providing the stability needed for the kingdoms northern provinces to flourish. They are the professional and experienced administrators of the southern expansion.
clan_aserai_9,Palakkad,Iti Pangi,Kingdom of Mysore,A clan of southern chieftains who guard the strategic passes into the lush Kerala plains and provide the kingdom with elite mountain infantry and scouts. They are experts in the geography of the southern gaps and the conduct of warfare in high humidity and dense vegetation. Their warriors are known for their endurance and their mastery of traditional martial arts making them formidable in close quarters combat. This clan represents the southern reach of the Mysorean state securing the vital routes that connect the plateau with the rich coastal lands of the south. During the civil war they serve as the primary guardians of the southern frontier ensuring that no threat can emerge from the direction of the Travancore state. Their loyalty is highly prized as their control over the passes makes them the gatekeepers of the southern trade. They are the resilient and watchful sentinels of the southern gaps.
clan_vlandia_1,Kachwaha,Madho Singh I,The Rajputaana Union,The premier diplomatic and political house of Rajasthan which has long served as the primary bridge between the Rajput clans and the imperial center. From their magnificent city of Jaipur they coordinate the defense of the union and manage the complex network of alliances that keep the desert states sovereign. Their military is a mix of traditional clan levies and professional musketry battalions that reflect their adaptability to the changing face of warfare. They represent the sophisticated face of Rajput power that uses both the sword and the pen to preserve their ancestral lands. This ruling clan has built a legacy of architectural and scientific brilliance turning their capital into a center of learning that attracts talent from across the subcontinent. Their leadership is defined by a pragmatic approach to power seeking to preserve the Rajput way of life through strategic cooperation rather than futile resistance. They are the grand architects of the Rajput union navigating the collapse of the Mughals with grace and foresight.
clan_vlandia_2,Rathore,Vijay Singh,The Rajputaana Union,The proud and fierce lords of Jodhpur who are renowned for their legendary courage and their mastery of the desert terrain. They are famous for their tradition of the saffron robe where warriors swear to fight to the death rather than accept the dishonor of defeat. Their cavalry is considered among the finest in the world capable of executing devastating charges across the shifting sands of the Marwar. They are the most stubborn opponents of any centralizing force and remain the primary defenders of the western frontiers of the union. This clan maintains a martial culture that is deeply rooted in the ancient codes of the Kshatriya where every man is a soldier and every woman a guardian of honor. During the current civil war they serve as the primary offensive force of the union launching deep raids to reclaim ancestral lands lost to the Mughals. Their spirit is as unyielding as the desert sun and they remain the heart of the Rajput resistance.
clan_vlandia_3,Sisodia,Ari Singh II,The Rajputaana Union,The most ancient and honored house among all Rajputs serving as the symbolic spiritual center of the resistance and the keepers of the sacred flame of Chittor. They are known for their uncompromising stance on sovereignty and their history of enduring the most brutal sieges in Indian history rather than bowing to a foreign emperor. Their warriors are traditionalists who pride themselves on their skill with the sword and the spear fighting with a sense of divine duty. This clan represents the unyielding soul of the Rajput people providing a moral anchor for the other clans during times of crisis. In the context of the civil war they act as the ultimate arbiters of honor ensuring that the union remains true to its ancestral traditions. Their fortresses are the holiest sites in Rajasthan and their banners are the rallying point for every warrior who dreams of a free Rajputana. They are the eternal and sacred guardians of the Rajput legacy.
clan_vlandia_4,Hada,Ajit Singh,The Rajputaana Union,A clan known for their suicidal bravery and their absolute refusal to ever turn their backs on an enemy regardless of the odds they face in battle. They are the specialists of the vanguard often being the first to charge and the last to retreat during the most intense clashes of the 18th century. Their military tradition is one of extreme martial discipline and a fanatical devotion to the local gods of their rocky homeland. This clan represents the raw and untamed energy of the Rajput spirit providing the union with its most aggressive and fearless fighting units. During the imperial collapse they have carved out a reputation as the most dangerous individual combatants in the subcontinent feared by both Mughal and Maratha alike. Their leadership is defined by a direct and honest approach to war where the only acceptable outcome is victory or a glorious death on the field. They are the unbreakable storm of the Rajput union.
clan_vlandia_5,Bhati,Mulraj II,The Rajputaana Union,The guardians of the deep Thar desert who control the strategic caravan routes to the western world and possess an unparalleled knowledge of the sands. They are experts in camel warfare and long range scouting using the harsh environment of the desert as their primary ally against invaders. Their warriors are resilient and independent accustomed to surviving for weeks in the deep desert with minimal water and supplies. This clan represents the western frontier of the Rajput world securing the vital routes that connect the subcontinent with the Persian and Arab trade networks. In the civil war they serve as the primary scouts and frontier guards providing the union with early warning of any movement from the Afghan or Mughal west. Their influence is built on their control over the hidden wells and secret paths of the desert making them the indispensable masters of the Thar. They are the watchful and enduring lords of the desert sands.
clan_vlandia_6,Shekhawat,Shardul Singh,The Rajputaana Union,A clan of highlanders from the northern reaches of Rajasthan who provide the union with its most professional and sought after mercenary infantry battalions. They are known for their adaptability and their willingness to embrace modern military technology including the latest European flintlocks and artillery. Their warriors are seasoned professionals who have fought in every corner of the subcontinent serving as the backbone of many regional armies. This clan represents the modernizing and entrepreneurial side of the Rajput world proving that tradition can be successfully blended with modern efficiency. During the current conflict they serve as the elite infantry of the union capable of holding the line against the most disciplined imperial forces. Their leadership is defined by a focus on tactical results and the maintenance of a well equipped and well paid standing army. They are the professional and formidable soldiers of fortune of the Rajput union.
clan_vlandia_7,Chauhan,Shatru Sal,The Rajputaana Union,Masters of artillery and fortification who have turned their city of Kota into an impregnable bastion and the primary manufacturing center for Rajput weaponry. They are renowned for their technical skills in casting large cannons and the engineering of complex defensive works that can withstand prolonged bombardments. Their warriors are specialized gunners and technicians who provide the union with its essential heavy firepower during siege operations. This clan represents the technical and industrial strength of the Rajput people ensuring that they can compete in the new age of gunpowder warfare. During the imperial decline they have taken over the role of the primary arsenal for the union providing a steady supply of high quality arms and ammunition to the other clans. Their influence is built on their indispensable technical expertise and their control over the vital trade in iron and saltpeter. They are the innovative and powerful smiths of the Rajput world.
clan_vlandia_8,Jhala,Zalim Singh,The Rajputaana Union,Tactical geniuses and administrative masters who often serve as the regents and military advisors for the other great Rajput houses during times of crisis. They are known for their ability to organize complex logistics and their skill in navigating the treacherous waters of inter clan diplomacy. Their power is not based on large territories but on their indispensable intellectual and strategic contributions to the union's collective defense. This clan represents the strategic brains behind the Rajput resistance ensuring that the bravery of the other clans is always used to the greatest effect. In the context of the civil war they act as the primary coordinators of the union's forces ensuring that the disparate clan armies can operate as a single unified machine. Their leadership is defined by a cool and analytical approach to power often securing victory through clever maneuvering rather than raw force. They are the brilliant and necessary strategists of the Rajput union.
clan_vlandia_9,Tanwar,Bakht Singh,The Rajputaana Union,An ancient and storied lineage that guards the sacred hills near Delhi and maintains the northern border of the Rajput world against the constant pressure of the capital. They are specialists in defensive warfare and the conduct of raids into the imperial heartland using their proximity to the capital to gather vital intelligence. Their warriors are veteran fighters who have spent centuries in the shadow of the Mughals mastering the art of the border skirmish. This clan represents the northern outpost of the Rajput spirit serving as the first line of defense against any imperial attempt to reclaim Rajasthan. During the civil war they act as the primary eyes and ears of the union in the north providing early warning of every shift in the politics of the Delhi court. Their loyalty is to the preservation of the Rajput frontier and they have become the most seasoned border lords of the union. They are the watchful and resilient guardians of the northern hills.
clan_vlandia_10,Gaur,Shiv Singh,The Rajputaana Union,Hill fort specialists who control the narrow passes and rocky defiles of the Aravalli mountains and extract heavy tolls from any army that dares to enter their territory. They are experts in mountain warfare and the construction of hidden defenses that can trap and decimate a much larger force within the rocky gaps. Their warriors are hardy and independent accustomed to the difficult life of the high crags and the constant vigilance required to protect their mountain homes. This clan represents the rugged and untameable spirit of the central highlands providing the union with its most secure interior bastions. In the civil war they serve as the primary defensive force of the mountain heartland ensuring that no invader can ever truly conquer the core of Rajputana. Their influence is built on their control over the vital mountain passes making them the gatekeepers of the interior trade and communication routes. They are the fierce and independent lords of the high crags.
clan_vlandia_11,Baghel,Ram Singh,The Rajputaana Union,Eastern warriors who act as the mobile vanguard for the union during its frequent campaigns into the fertile plains of central India and beyond. They are known for their skill in both heavy cavalry charges and the conduct of rapid infantry maneuvers across diverse terrains. Their military tradition is one of constant expansion and the defense of the eastern borders against the rising power of the Marathas and the Mughals. This clan represents the outward looking and aggressive side of the Rajput union seeking to project power far beyond the traditional borders of Rajasthan. During the current conflict they serve as the primary scouts and vanguards who lead the union's armies into the rich lands of the east. Their leadership is defined by a focus on mobility and the acquisition of new territories to strengthen the union's economic base. They are the daring and expansive warriors of the eastern frontier.
clan_battania_1,House of Peshwa,Balaji Baji Rao,Maratha Saamrajya,The hereditary prime ministers who serve as the actual executive heads of the Maratha confederacy and have directed its expansion across the entire subcontinent. From their seat in Pune they manage a sprawling network of generals and governors who have brought the Mughal empire to its knees. Their military strategy emphasizes extreme mobility and the systematic destruction of enemy supply lines through the use of light cavalry. They are the primary architects of the new Indian order that seeks to replace the Timurid hegemony with a Maratha led confederation. This ruling clan has transformed the Maratha movement from a local mountain resistance into a sophisticated imperial state with its own complex bureaucracy and revenue systems. Their court is a center of intense political activity where the grand strategy for the conquest of India is debated and decided. They represent the administrative and strategic genius of the Maratha people coordinating the efforts of the diverse clans toward a single common goal.
clan_battania_2,Bhonsle,Chhatrapati Shahu,Maratha Saamrajya,The royal house of the Chhatrapati which remains the ultimate symbol of Maratha pride and the foundational lineage that gave birth to the entire empire. While the executive power has shifted to the ministers they still maintain a sacred authority that is recognized by every Maratha warrior and peasant. Their influence is spiritual and cultural serving as the moral center around which the entire confederacy unites in times of existential threat. This clan represents the legacy of Shivaji Maharaj and the ideal of Hindavi Swarajya reminding the people of their roots and their divine mission. In the context of the civil war they act as the ultimate arbiters of legitimacy ensuring that the various generals and ministers remain loyal to the core principles of the Maratha state. Their presence in the royal capital of Satara provides a sense of continuity and stability that is essential for the cohesion of the sprawling empire. They are the sacred and honored guardians of the Maratha soul.
clan_battania_3,Scindia,Dattaji Rao,Maratha Saamrajya,A powerful military clan based in the north that has taken on the responsibility of guarding the frontiers of the empire near the imperial capital and the Afghan border. They are unique among the Marathas for their heavy investment in modern European style infantry and a formidable artillery corps that can match any global power. Their forces act as the primary check against Afghan invasions and are the main force involved in the direct and dangerous politics of the Delhi court. This clan represents the transformation of the Maratha movement into a professionalized and modern imperial military power. During the current conflict they serve as the heavy muscle of the confederacy capable of holding ground in the plains and engaging in protracted siege warfare. Their leadership is defined by a focus on military innovation and the creation of a standing army that can operate far from the traditional Deccan heartland. They are the iron fist of the Maratha expansion in the north.
clan_battania_4,Holkar,Malhar Rao,Maratha Saamrajya,Masters of the Ganimi Kava guerrilla tactics who are famous for their lightning fast cavalry raids and their populist approach to leadership and warfare. They are known for their ability to traverse vast distances with incredible speed striking at the heart of enemy territory before a defense can even be organized. Their warriors are primarily light cavalry who pride themselves on their mobility and their deep connection to the common people of the Maratha lands. This clan represents the populist and revolutionary spirit of the Maratha movement prioritizing results and merit over pedigree and ritual. In the civil war they serve as the primary raiding force that devastates enemy economies and forces the Mughals to pay tribute. Their leadership is characterized by a fierce independence and a commitment to the welfare of their soldiers making them one of the most beloved factions in the empire. They are the swift and daring storm of the Maratha confederacy.
clan_battania_5,Gaekwad,Damaji Rao,Maratha Saamrajya,Wealthy lords of the western coast who control the rich textile trade of Gujarat and provide the empire with the massive financial resources needed to fund its endless campaigns. They govern a prosperous and stable province that acts as the primary economic engine of the Maratha state ensuring a steady flow of silver to the central treasury. Their military force is a mix of traditional cavalry and specialized coastal infantry who protect the vital ports and trade routes of the west. This clan represents the commercial and economic strength of the Maratha empire proving that trade is as important as the sword in the building of a great power. During the imperial decline they have expanded their influence into the northern plains of the west providing the empire with a secure base for operations into the heart of the Mughal lands. Their influence is built on their control over the lucrative maritime trade making them one of the most powerful and stable factions in the confederacy. They are the wealthy and efficient merchant kings of the Maratha world.
clan_battania_6,Bhonsle of Nagpur,Janoji Bhonsle,Maratha Saamrajya,An independent minded branch of the royal house that has expanded Maratha influence into the eastern forests and the rich lands of the Bengal frontier. They are known for their fierce autonomy and their willingness to chart their own course regardless of the directives from the central government in Pune. Their military specialty is in forest warfare and the conduct of deep raids into the eastern provinces using the rugged terrain of the central hills as their base. This clan represents the eastern expansion of the Maratha spirit seeking to create a new and independent power base in the heart of the subcontinent. In the current conflict they act as a separate power block that often challenges the central authority while remaining committed to the overall success of the Maratha cause. Their leadership is defined by a focus on territorial expansion and the acquisition of new tribute from the wealthy subahs of the east. They are the ambitious and independent explorers of the Maratha world.
clan_battania_7,Patwardhan,Purandare,Maratha Saamrajya,Disciplined and scholarly warriors who provide the moral leadership and the tactical order for the confederacy and are known for their deep religious devotion and martial skill. They represent the intellectual and traditionalist wing of the Maratha nobility ensuring that the values of the Brahmin warrior class are maintained in the army. Their military retinues are small but incredibly well disciplined and well equipped serving as the elite heavy cavalry during major field battles. This clan is dedicated to the preservation of the religious and social order of the Maratha state and they are the primary opponents of any form of disorder or lack of discipline. During the civil war they provide the state with its most reliable and principled officers who are capable of maintaining the morale of the diverse Maratha forces. Their loyalty is to the concept of the virtuous state and they are the primary guardians of the Maratha ethical code. They are the scholarly and formidable protectors of the Maratha social order.
clan_battania_8,Angre,Tulaji,Maratha Saamrajya,The legendary admirals of the Maratha navy who protect the western coast from European fleets and local pirates and maintain a string of impregnable sea forts. They are the masters of the Konkan coast using their specialized knowledge of the tides and the rocky inlets to outmaneuver much larger and more modern naval powers. Their warriors are expert sailors and marines who bring a unique and essential maritime dimension to the Maratha military capabilities. This clan represents the naval strength of the empire ensuring that the coastal trade routes remain open and that the western borders are secure from sea-borne invasion. In the context of the civil war they serve as the primary guardians of the coast providing the empire with a secure maritime base and a steady supply of resources from the sea. Their influence is built on their control over the vital coastal ports making them the indispensable sea lords of the Maratha world. They are the daring and unbreakable defenders of the western waters.
